Score,UpCourt,DownCourt,Start,End,Comment
1_20_17,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,40320,40443,0
1_21_17,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,41791,41883,0
2_01_00,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,46082,46148,0
2_02_00,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,46462,46682,0
2_02_01,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,47026,47192,0
2_02_02,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,47565,47782,0
2_02_03,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,48103,48295,0
2_03_03,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,48941,49093,0
2_03_04,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,49587,49701,0
2_04_04,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,49987,50255,0
2_04_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,50596,50891,0
2_05_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,51579,51714,0
2_06_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,52144,52228,0
2_07_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,52570,53269,0
2_08_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,53921,55227,0
2_09_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,56332,56600,0
2_10_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,57314,57626,0
2_11_05,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,58072,58317,0
2_11_06,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,60166,60298,0
2_12_06,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,60871,61036,0
2_13_06,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,61687,62004,0
2_13_07,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,62404,63044,0
2_14_07,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,63728,64047,0
2_15_07,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,64466,64731,0
2_15_08,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,65190,65570,0
2_16_08,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,66100,66331,0
2_17_08,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,66666,66761,0
2_18_08,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,67135,67201,0
2_19_08,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,67452,67578,0
2_19_09,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,67892,68079,0
2_19_10,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,68569,68679,0
2_20_10,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,68988,69105,0
2_21_10,LIANG Wei Keng/WANG Chang,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,69419,69647,0
